Email,Classificacao
Muito obrigado pela sua ajuda na última semana.,Improdutivo
"Tenho interesse em mudar o plano contratado, como faço?",Produtivo
Desejo sucesso nos próximos projetos.,Improdutivo
Preciso reagendar nossa reunião para a próxima semana.,Produtivo
Gostaria de confirmar se meu pagamento foi processado corretamente.,Produtivo
Vocês poderiam me orientar sobre como exportar os dados?,Produtivo
Foi um prazer conversar com você ontem.,Improdutivo
Gostaria de confirmar se meu pagamento foi processado corretamente.,Produtivo
Parabéns pelo excelente trabalho realizado!,Improdutivo
Desejo a todos um ótimo final de semana.,Improdutivo
Agradeço novamente pela atenção dedicada.,Improdutivo
Espero que esteja tudo bem com você.,Improdutivo
O sistema apresentou erro ao tentar gerar o relatório mensal.,Produtivo
Muito obrigado pela sua ajuda na última semana.,Improdutivo
O prazo para entrega do suporte foi estendido?,Produtivo
Gostaria de confirmar se meu pagamento foi processado corretamente.,Produtivo
Desejo sucesso nos próximos projetos.,Improdutivo
Obrigado pelo retorno rápido.,Improdutivo
O prazo para entrega do suporte foi estendido?,Produtivo
Agradeço novamente pela atenção dedicada.,Improdutivo
"Olá, gostaria de saber como posso atualizar meu cadastro no sistema.",Produtivo
Gostaria de confirmar se meu pagamento foi processado corretamente.,Produtivo
Parabéns pelo excelente trabalho realizado!,Improdutivo
Feliz aniversário para o colega de equipe!,Improdutivo
Preciso reagendar nossa reunião para a próxima semana.,Produtivo
Agradeço novamente pela atenção dedicada.,Improdutivo
Desejo a todos um ótimo final de semana.,Improdutivo
Gostaria de confirmar se meu pagamento foi processado corretamente.,Produtivo
Feliz aniversário para o colega de equipe!,Improdutivo
O prazo para entrega do suporte foi estendido?,Produtivo
Preciso de ajuda com a recuperação da minha senha.,Produtivo
Foi um prazer conversar com você ontem.,Improdutivo
Espero que esteja tudo bem com você.,Improdutivo
Pode me enviar a documentação atualizada do sistema?,Produtivo
O sistema apresentou erro ao tentar gerar o relatório mensal.,Produtivo
Pode me enviar a documentação atualizada do sistema?,Produtivo
Feliz aniversário para o colega de equipe!,Improdutivo
Muito obrigado pela sua ajuda na última semana.,Improdutivo
Parabéns pelo excelente trabalho realizado!,Improdutivo
Desejo sucesso nos próximos projetos.,Improdutivo
Desejo sucesso nos próximos projetos.,Improdutivo
Gostaria de confirmar se meu pagamento foi processado corretamente.,Produtivo
O prazo para entrega do suporte foi estendido?,Produtivo
Agradeço novamente pela atenção dedicada.,Improdutivo
Obrigado pelo retorno rápido.,Improdutivo
"Tenho interesse em mudar o plano contratado, como faço?",Produtivo
Feliz aniversário para o colega de equipe!,Improdutivo
Agradeço novamente pela atenção dedicada.,Improdutivo
Desejo sucesso nos próximos projetos.,Improdutivo
Pode me enviar a documentação atualizada do sistema?,Produtivo
Gostaria de confirmar se meu pagamento foi processado corretamente.,Produtivo
Pode me enviar a documentação atualizada do sistema?,Produtivo
Obrigado pelo retorno rápido.,Improdutivo
Preciso reagendar nossa reunião para a próxima semana.,Produtivo
Obrigado pelo retorno rápido.,Improdutivo
"Olá, gostaria de saber como posso atualizar meu cadastro no sistema.",Produtivo
"Bom dia, estou enfrentando dificuldades para acessar minha conta.",Produtivo
"Bom dia, estou enfrentando dificuldades para acessar minha conta.",Produtivo
Preciso de ajuda com a recuperação da minha senha.,Produtivo
Preciso reagendar nossa reunião para a próxima semana.,Produtivo
"Tenho interesse em mudar o plano contratado, como faço?",Produtivo
Muito obrigado pela sua ajuda na última semana.,Improdutivo
O sistema apresentou erro ao tentar gerar o relatório mensal.,Produtivo
O prazo para entrega do suporte foi estendido?,Produtivo
Muito obrigado pela sua ajuda na última semana.,Improdutivo
Desejo a todos um ótimo final de semana.,Improdutivo
"Tenho interesse em mudar o plano contratado, como faço?",Produtivo
Muito obrigado pela sua ajuda na última semana.,Improdutivo
"Olá, gostaria de saber como posso atualizar meu cadastro no sistema.",Produtivo
Desejo a todos um ótimo final de semana.,Improdutivo
Boas festas para toda a equipe!,Improdutivo
"Bom dia, estou enfrentando dificuldades para acessar minha conta.",Produtivo
Obrigado pelo retorno rápido.,Improdutivo
Feliz aniversário para o colega de equipe!,Improdutivo
Boas festas para toda a equipe!,Improdutivo
"Olá, gostaria de saber como posso atualizar meu cadastro no sistema.",Produtivo
Foi um prazer conversar com você ontem.,Improdutivo
Parabéns pelo excelente trabalho realizado!,Improdutivo
Espero que esteja tudo bem com você.,Improdutivo
Desejo a todos um ótimo final de semana.,Improdutivo
Muito obrigado pela sua ajuda na última semana.,Improdutivo
Espero que esteja tudo bem com você.,Improdutivo
Boas festas para toda a equipe!,Improdutivo
Feliz aniversário para o colega de equipe!,Improdutivo
Gostaria de confirmar se meu pagamento foi processado corretamente.,Produtivo
"Bom dia, estou enfrentando dificuldades para acessar minha conta.",Produtivo
O sistema apresentou erro ao tentar gerar o relatório mensal.,Produtivo
Boas festas para toda a equipe!,Improdutivo
Boas festas para toda a equipe!,Improdutivo
"Bom dia, estou enfrentando dificuldades para acessar minha conta.",Produtivo
Feliz aniversário para o colega de equipe!,Improdutivo
Pode me enviar a documentação atualizada do sistema?,Produtivo
O prazo para entrega do suporte foi estendido?,Produtivo
Muito obrigado pela sua ajuda na última semana.,Improdutivo
"Tenho interesse em mudar o plano contratado, como faço?",Produtivo
Feliz aniversário para o colega de equipe!,Improdutivo
Vocês poderiam me orientar sobre como exportar os dados?,Produtivo
O prazo para entrega do suporte foi estendido?,Produtivo
"Olá, gostaria de saber como posso atualizar meu cadastro no sistema.",Produtivo
O sistema apresentou erro ao tentar gerar o relatório mensal.,Produtivo
"Tenho interesse em mudar o plano contratado, como faço?",Produtivo
O sistema apresentou erro ao tentar gerar o relatório mensal.,Produtivo
Desejo a todos um ótimo final de semana.,Improdutivo
Espero que esteja tudo bem com você.,Improdutivo
Preciso reagendar nossa reunião para a próxima semana.,Produtivo
Muito obrigado pela sua ajuda na última semana.,Improdutivo
Foi um prazer conversar com você ontem.,Improdutivo
"Tenho interesse em mudar o plano contratado, como faço?",Produtivo
Vocês poderiam me orientar sobre como exportar os dados?,Produtivo
"Olá, gostaria de saber como posso atualizar meu cadastro no sistema.",Produtivo
"Olá, gostaria de saber como posso atualizar meu cadastro no sistema.",Produtivo
Gostaria de confirmar se meu pagamento foi processado corretamente.,Produtivo
Vocês poderiam me orientar sobre como exportar os dados?,Produtivo
Desejo a todos um ótimo final de semana.,Improdutivo
Desejo a todos um ótimo final de semana.,Improdutivo
O prazo para entrega do suporte foi estendido?,Produtivo
Muito obrigado pela sua ajuda na última semana.,Improdutivo
Foi um prazer conversar com você ontem.,Improdutivo
Gostaria de confirmar se meu pagamento foi processado corretamente.,Produtivo
Muito obrigado pela sua ajuda na última semana.,Improdutivo
Desejo sucesso nos próximos projetos.,Improdutivo
Feliz aniversário para o colega de equipe!,Improdutivo
Boas festas para toda a equipe!,Improdutivo
Foi um prazer conversar com você ontem.,Improdutivo
O sistema apresentou erro ao tentar gerar o relatório mensal.,Produtivo
"Tenho interesse em mudar o plano contratado, como faço?",Produtivo
Desejo sucesso nos próximos projetos.,Improdutivo
Desejo sucesso nos próximos projetos.,Improdutivo
Pode me enviar a documentação atualizada do sistema?,Produtivo
Foi um prazer conversar com você ontem.,Improdutivo
Gostaria de confirmar se meu pagamento foi processado corretamente.,Produtivo
"Bom dia, estou enfrentando dificuldades para acessar minha conta.",Produtivo
O sistema apresentou erro ao tentar gerar o relatório mensal.,Produtivo
Espero que esteja tudo bem com você.,Improdutivo
"Bom dia, estou enfrentando dificuldades para acessar minha conta.",Produtivo
O prazo para entrega do suporte foi estendido?,Produtivo
Desejo a todos um ótimo final de semana.,Improdutivo
"Tenho interesse em mudar o plano contratado, como faço?",Produtivo
Gostaria de confirmar se meu pagamento foi processado corretamente.,Produtivo
O prazo para entrega do suporte foi estendido?,Produtivo
Espero que esteja tudo bem com você.,Improdutivo
Pode me enviar a documentação atualizada do sistema?,Produtivo
Feliz aniversário para o colega de equipe!,Improdutivo
Boas festas para toda a equipe!,Improdutivo
"Tenho interesse em mudar o plano contratado, como faço?",Produtivo
Parabéns pelo excelente trabalho realizado!,Improdutivo
Muito obrigado pela sua ajuda na última semana.,Improdutivo
Boas festas para toda a equipe!,Improdutivo
Agradeço novamente pela atenção dedicada.,Improdutivo
Desejo sucesso nos próximos projetos.,Improdutivo
Feliz aniversário para o colega de equipe!,Improdutivo
Gostaria de confirmar se meu pagamento foi processado corretamente.,Produtivo
